id,author,timestamp,text,url,favoriteCount,retweetCount,replyCount,viewCount
1956860792176857582,ESPNNFL,Sat Aug 16 23:29:04 +0000 2025,"RT @ESPNFantasy: WHAT A CATCH BY BUCKY IRVING 🤩 

(via @Buccaneers)
https://t.co/UZANiFUQQ6",https://x.com/ESPNNFL/status/1956860792176857582,,25,16,65243
1956825791800483939,ESPNNFL,Sat Aug 16 21:09:59 +0000 2025,"RT @ESPNFantasy: We celebrated with a fantasy football league that is 50 years old 🏈 

What it's all about ❤️ https://t.co/3orQ3w94yb",https://x.com/ESPNNFL/status/1956825791800483939,,15,15,68848
1956819691583799343,ESPNNFL,Sat Aug 16 20:45:45 +0000 2025,"RT @ESPNFantasy: ASHTON JEANTY COMING THROUGH 😤 

(via @Raiders)
https://t.co/nwZ0Ze4sYq",https://x.com/ESPNNFL/status/1956819691583799343,,142,65,300493
1956798444187591029,ESPNNFL,Sat Aug 16 19:21:19 +0000 2025,"Quinn Ewers' first TD of the NFL preseason 🔥 

(via @miamidolphins) https://t.co/7eWFN8hniM",https://x.com/ESPNNFL/status/1956798444187591029,,27,12,42435
1956793619836264855,ESPNNFL,Sat Aug 16 19:02:09 +0000 2025,"Only right for the hometown kid to take it to the house 🔥 

Isaac TeSlaa even hit the hometown celly 😤 (via @nfl) https://t.co/JFq6qGoYku",https://x.com/ESPNNFL/status/1956793619836264855,,30,16,49402
1956774185323143535,ESPNNFL,Sat Aug 16 17:44:55 +0000 2025,"THE ROOKIE PICK-SIX 🔥 

Andrew Mukuba picks off Dillon Gabriel to get Philly on the board 😤 (via @eagles)
 https://t.co/vtM02VYU3g",https://x.com/ESPNNFL/status/1956774185323143535,,61,27,58863
1956543136815079521,ESPNNFL,Sat Aug 16 02:26:49 +0000 2025,"Charbonnet runs it in to put Seattle on the board 😤  (via @Seahawks)

https://t.co/jVGPa9qG3i",https://x.com/ESPNNFL/status/1956543136815079521,,18,16,50678
1956465566895489223,ESPNNFL,Fri Aug 15 21:18:35 +0000 2025,"""Its one thing to be given the world's best ingredients, but a chef has to know how to use them.""

@minakimes explains why John Morton’s offensive scheming will be crucial ✍️ https://t.co/Ae8aLI07y2",https://x.com/ESPNNFL/status/1956465566895489223,,23,22,101076
1956421662947123236,ESPNNFL,Fri Aug 15 18:24:07 +0000 2025,RT @PatMcAfeeShow: We’ve got some BIG names playing in the preseason this weekend #PMSLive https://t.co/vyBy99SrOk,https://x.com/ESPNNFL/status/1956421662947123236,,15,12,115178
1956105712121102453,ESPNNFL,Thu Aug 14 21:28:39 +0000 2025,"RT @espn: Beyoncé is officially an Emmy Award winner after her 2024 NFL Christmas Day ""Beyoncé Bowl"" halftime performance won for outstandi…",https://x.com/ESPNNFL/status/1956105712121102453,,55,116,601226
